display,name,revenue_mln,avg_price,parent_category,full_path,issues,fix_action
Дом / Фольга пищевая,Фольга для маникюра,0.0,303.0,Красота,Красота/Аксессуары/Для маникюра и педикюра/Декор для маникюра,zero_revenue,Мёртвая ниша
Ароматические украшения,Ароматические украшения,0.0,579.5,Автотовары,Автотовары/Аксессуары в салон и багажник/Ароматизаторы,zero_revenue,Мёртвая ниша
Капельницы для капельного полива,Капельницы для капельного полива,0.0,10363.0,Сад и дача,Сад и дача/Полив/Системы автополива и запчасти,zero_revenue,Мёртвая ниша
Насадки для зубных щеток,Насадки для зубных щеток,0.0,945.0,Здоровье,Здоровье/Уход за полостью рта/Насадки для электрических зубных щеток,zero_revenue,Мёртвая ниша
Аккумуляторы для пылесосов,Аккумуляторы для пылесосов,0.0,550.0,Бытовая техника,Бытовая техника/Техника для дома/Аксессуары для пылесосов/Запчасть для пылесоса,zero_revenue,Мёртвая ниша
Продукты / Маш,Кармашки в шкафчик,0.0,399.0,Дом,Дом/Детская/Хранение вещей/Карманы на кровать,zero_revenue,Мёртвая ниша
Дубинки телескопические,Дубинки телескопические,0.0,0.0,Спорт,Спорт/Охота и рыбалка/Рыбалка/Рыболовные аксессуары/Дубинки рыболовные,"zero_revenue, no_price",Мёртвая ниша
Сад и дача / Пряности и зелень,Пряности,0.0,179.5,Сад и дача,"Сад и дача/Растения, семена и грунты/Семена/Пряности и зелень",zero_revenue,Мёртвая ниша
Для ремонта / Рейки декоративные,Рейки нивелирные,0.0,9600.0,Для ремонта,Для ремонта/Инструменты и оснастка/Измерительные приборы/Нивелир,zero_revenue,Мёртвая ниша
Для ремонта / Колючие проволоки,Проволоки сварочные,0.0,1266.0,Для ремонта,Для ремонта/Стройматериалы/Изоляционные материалы/Колючие проволоки,zero_revenue,Мёртвая ниша
Уплотнители для душевых кабин,Уплотнители для душевых кабин,0.0,834.0,Для ремонта,Для ремонта/Сантехника/Комплектующие для душевых кабин,zero_revenue,Мёртвая ниша
Продукты / Молоко капсульное,Молоко капсульное,0.0,626.0,Продукты,Продукты/Молочные продукты и яйца/Молоко капсульное,zero_revenue,Мёртвая ниша
Дом / Средства для стирки,Средства для стирки,0.0,714.0,Дом,Дом/Бытовая химия/Средства для стирки,zero_revenue,Мёртвая ниша
Броши ювелирная бижутерия,Броши ювелирная бижутерия,0.0,808.5,Ювелирные изделия,Ювелирные изделия/Броши,zero_revenue,Мёртвая ниша
Красота / Наборы,Наборы для барбекю,0.0,2040.0,Сад и дача,"Сад и дача/Грили, мангалы и барбекю/Решетки и аксессуары для гриля и мангала/Набор для пикника",zero_revenue,Мёртвая ниша
Наконечники для карниза,Наконечники для карниза,0.0,288.0,Дом,Дом/Шторы/Карнизы/Комплектующие для карнизов,zero_revenue,Мёртвая ниша
Сантехника,Сантехника,0.0,398.0,Для ремонта,Для ремонта/Сантехника,zero_revenue,Мёртвая ниша
Женщинам / Шубы натуральные,Шубы чебурашки,0.0,5276.0,Женщинам,Женщинам/Большие размеры/Верхняя одежда/Шубы искусственные,zero_revenue,Мёртвая ниша
Направляющие для шлангов,Направляющие для шлангов,0.0,1526.0,Сад и дача,Сад и дача/Полив/Держатель для шланга,zero_revenue,Мёртвая ниша
Подвески ювелирная бижутерия,Подвески ювелирная бижутерия,0.0,787.0,Женщинам,Женщинам/Подарки женщинам/Бижутерные украшения/Подвеска бижутерная,zero_revenue,Мёртвая ниша
Приборы для разогрева еды,Приборы для разогрева еды,0.0,2490.0,Бытовая техника,Бытовая техника/Техника для кухни/Приготовление блюд/Прибор для выпечки,zero_revenue,Мёртвая ниша
Наборы для подвязки растений,Наборы для подвязки растений,0.0,371.0,Сад и дача,Сад и дача/Удобрения и уход за растениями/Опоры и подвязки для растений/Подвязка для растений,zero_revenue,Мёртвая ниша
Переходники для тормозной системы,Переходники для тормозной системы,0.0,1989.0,Спорт,Спорт/Велоспорт/Велозапчасти/Адаптеры для тормозной системы,zero_revenue,Мёртвая ниша
Запчасти для моек высокого давления,Запчасти для моек высокого давления,0.0,1161.0,Автотовары,Автотовары/Мойки высокого давления и аксессуары/Аксессуары и запчасти для моек высокого давления,zero_revenue,Мёртвая ниша
Герметики охлаждающей жидкости,Герметики охлаждающей жидкости,0.0,749.5,Автотовары,Автотовары/Автокосметика и автохимия/Герметики автомобильные,zero_revenue,Мёртвая ниша
Балясины,Балясины,0.0,1493.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Багги,Багги,0.0,368242.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Женщинам / Ювелирные украшения,Ювелирные украшения,0.0,4559.0,Женщинам,Женщинам/Подарки женщинам/Ювелирные украшения,zero_revenue,Мёртвая ниша
Продукты / Колбаски,Баски,0.0,1350.0,Продукты,Продукты/Готовая еда/Закуски/Колбаски,zero_revenue,Мёртвая ниша
Несессеры,Несессеры,0.0,723.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Творожки,Творожки,0.0,60.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Кукурузолущилки,Кукурузолущилки,0.0,2120.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Электроника / Цифровые ручки,Цифровые мультимедиа,0.0,120.0,Книги,Книги/Мультимедиа,zero_revenue,Мёртвая ниша
Вентканалы,Вентканалы,0.0,486.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Мужчинам / Боди,Боди гимнастические,0.0,513.0,Спорт,Спорт/Для женщин/Одежда/Боди и купальники/Купальник гимнастический,zero_revenue,Мёртвая ниша
Продукты / Варенец,Варенец,0.0,643.0,Продукты,Продукты/Молочные продукты и яйца/Варенец,zero_revenue,Мёртвая ниша
Спорт / Колеса,Колеса автомобильные,0.0,550.5,Автотовары,Автотовары/Шины и диски колесные/Шины/Шина автомобильная,zero_revenue,Мёртвая ниша
Дом / Репелленты,Репелленты,0.0,294.0,Дом,Дом/Отдых на природе/Репелленты,zero_revenue,Мёртвая ниша
Средства от педикулеза,Средства от педикулеза,0.0,723.0,Адаптивные товары,Адаптивные товары/Средства реабилитации,zero_revenue,Мёртвая ниша
Боулы,Боулы,0.0,880.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Манго,Манго,0.0,193.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
ОСП (ориентированно-стружечные плиты),ОСП (ориентированно-стружечные плиты),0.0,355.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Продукты / Хачапури,Хачапури,0.0,0.0,Продукты,Продукты/Готовая еда/Хачапури,"zero_revenue, no_price",Мёртвая ниша
Серьги ювелирная бижутерия,Серьги ювелирная бижутерия,0.0,1000.0,Аксессуары,Аксессуары/Бижутерия/Серьги,zero_revenue,Мёртвая ниша
Книги 18+,Книги 18+,0.0,597.0,Книги,Книги,zero_revenue,Мёртвая ниша
Шпик,Шпик,0.0,735.5,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Продукты / Булочки,Булочки,0.0,17.0,Продукты,"Продукты/Сладости и хлебобулочные изделия/Хлеб, булочки, лепешки/Булочки",zero_revenue,Мёртвая ниша
Ножницы садовые аккумуляторные,Ножницы садовые аккумуляторные,0.0,2047.5,Сад и дача,"Сад и дача/Садовая техника/Садовые ножницы, кусторезы и секаторы/Ножницы садовые",zero_revenue,Мёртвая ниша
Женщинам / Леггинсы,Леггинсы ч/н,0.0,430.0,Детям,Детям/Для девочек/Брюки и шорты/Леггинсы,zero_revenue,Мёртвая ниша
Дом / Коврики комнатные,Коврики комнатные,0.0,2990.0,Дом,Дом/Гостиная/Коврики комнатные,zero_revenue,Мёртвая ниша
Автотовары / Краскопульты,Пульты игровые,0.0,1667.0,Детям,Детям/Детская электроника/Игровая консоль,zero_revenue,Мёртвая ниша
Комплектующие для штор,Комплектующие для штор,0.0,389.0,Дом,Дом/Шторы/Карнизы/Комплектующие для карнизов,zero_revenue,Мёртвая ниша
Водосгоны,Водосгоны,0.0,860.0,БЕЗ ПУТИ,,"no_path, zero_revenue",Мёртвая ниша (нет пути)
Дом / Открытки,Открытки 18+,0.0,194.0,Дом,Дом/Все для праздника/Открытки,zero_revenue,Мёртвая ниша
Кольца для штор,Кольца для штор,0.0,328.0,Дом,Дом/Шторы/Аксессуары/Аксессуары для штор,zero_revenue,Мёртвая ниша
Женщинам / Подкладки для бретелей,Подкладки для мебели,0.0,383.0,Для ремонта,Для ремонта/Крепеж/Мебельная фурнитура/Накладка-протектор для мебели,zero_revenue,Мёртвая ниша
Сад и дача / Арки садовые,Садовые ограждения,0.0,788.0,Для ремонта,Для ремонта/Стройматериалы/Заборы и ограждения,zero_revenue,Мёртвая ниша
Клапаны регулирующие садовые,Клапаны регулирующие садовые,0.0,295.0,Сад и дача,Сад и дача/Садовая техника/Аксессуары для насосов и станций/Обратный клапан для насоса,zero_revenue,Мёртвая ниша
Для ремонта / Коннекторы шинопроводов,Коннекторы садовые,0.0,276.5,Сад и дача,Сад и дача/Полив/Коннекторы и штуцеры садовые,zero_revenue,Мёртвая ниша
Продукты / Имбирь маринованный,Имбирь,0.0,344.0,Продукты,Продукты/Бакалея/Консервация/Имбирь маринованный,zero_revenue,Мёртвая ниша
Дом / Простыни,Простыни натяжные,0.0,825.0,Дом,Дом/Спальня/Постельные принадлежности/Простыни,zero_revenue,Мёртвая ниша
Сад и дача / Септик,Антисептик для бань,0.0,616.0,Для ремонта,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Антисептик-пропитка,zero_revenue,Мёртвая ниша
Перекись водорода для бассейна,Перекись водорода для бассейна,0.0,0.0,Сад и дача,Сад и дача/Бассейны/Уход за бассейном/Средство для бассейна,"zero_revenue, no_price",Мёртвая ниша
Электроника / Цифровые ручки,Цифровые книги,0.0,211.0,Книги,Книги,zero_revenue,Мёртвая ниша
Очистители аэрозольные,Очистители аэрозольные,0.0,10552.0,Автотовары,Автотовары/Автокосметика и автохимия/Очистители автомобильные,zero_revenue,Мёртвая ниша
Шланги для стиральных машин,Шланги для стиральных машин,0.0,595.0,Бытовая техника,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Запчасть для стиральной машины,zero_revenue,Мёртвая ниша
Продукты / Сыр,Сырные шарики,0.0,242.0,Продукты,Продукты/Здоровое питание/Сыр,zero_revenue,Мёртвая ниша
Дом / Часы электронные,Электронные сигареты,0.0,515.0,Дом,Дом/Предметы интерьера/Часы/Часы электронные,zero_revenue,Мёртвая ниша
Автотовары / Датчики фаз,Датчики двери,0.0,1003.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные/Датчик автомобильный,zero_revenue,Мёртвая ниша
Автотовары / Датчики фаз,Датчики задымления,0.0,1142.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Датчики автомобильные/Датчик автомобильный,zero_revenue,Мёртвая ниша
