display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Болеутоляющие препараты,Болеутоляющие препараты,,"7,296,869",57,300.0%,0.0%,0.0%,3,Лекарственные препараты,"no_buyout, no_profit",False
Шарниры коленчатые,Шарниры коленчатые,,"7,281,596","1,872",2150.0%,0.0%,0.0%,12,Автотовары/Запчасти/Двигатель/Основные части двигателя/Шарнир коленчатый,"no_buyout, no_profit",False
Домашние кинотеатры,Домашние кинотеатры,,"7,217,694",943,2750.0%,0.0%,0.0%,61,"Электроника/ТВ, Аудио, Фото, Видео техника/Аудиотехника/Домашние кинотеатры","no_buyout, no_profit",False
Продукты / Чурчхела,Чурчхела,,"7,178,617",613,2150.0%,0.0%,0.0%,78,Продукты/Сладости и хлебобулочные изделия/Восточные сладости/Чурчхела,"no_buyout, no_profit",False
Продукты / Мороженое,Мороженое,,"6,996,765",915,1650.0%,100.0%,0.0%,8,Продукты/Замороженная продукция/Мороженое,no_profit,False
Комборучки велосипедные,Комборучки велосипедные,,"6,969,308",516,2750.0%,0.0%,0.0%,132,Спорт/Велоспорт/Велозапчасти/Комборучка велосипедная,"no_buyout, no_profit",False
Мебель / Системы,AKF системы,,"6,706,959","1,573",2650.0%,0.0%,0.0%,39,Автотовары/Запчасти/Двигатель/Газораспределение/AKF система,"no_buyout, no_profit",False
Продукты / Коктейли,Коктейли алкогольные,,"6,697,722",671,950.0%,0.0%,0.0%,1,Продукты/Алкоголь/Коктейли/Коктейль алкогольный,"no_buyout, no_profit",False
Колодцы,Колодцы,,"6,484,325","4,027",2350.0%,0.0%,0.0%,7,Сад и дача/Готовые строения и срубы/Колодец,"no_buyout, no_profit",False
Электроника / Hi-Fi плееры,Hi-Fi плееры,,"6,306,966","4,288",2750.0%,0.0%,0.0%,34,"Электроника/ТВ, Аудио, Фото, Видео техника/Аудиотехника/Hi-Fi плееры","no_buyout, no_profit",False
Игрушки / Автотрек,Фреоны для авто,,"6,200,804","8,414",2650.0%,20.0%,0.0%,14,Автотовары/Автокосметика и автохимия/Очистители автомобильные/Автохимия,no_profit,False
Дом / Шкафы для спальни,Шкафы для спальни,,"6,078,683","5,942",2650.0%,0.0%,72.5%,35,Мебель/По помещениям/Спальня/Шкафы/Шкаф для спальни,no_buyout,False
Дом / Карты,Sim карты,,"6,058,991",177,2950.0%,84.1%,0.0%,265,Электроника/Смартфоны и телефоны/SIM-карты,no_profit,False
Для ремонта / Пьедесталы,Пьедесталы,,"5,983,417","1,579",2700.0%,0.0%,0.0%,91,Дом/Ванная/Сантехника/Раковины и пьедесталы/Пьедестал,"no_buyout, no_profit",False
Обратные клапаны для насосов,Обратные клапаны для насосов,,"5,933,572",897,2950.0%,0.0%,0.0%,107,Сад и дача/Насосное оборудование/Обратный клапан для насоса,"no_buyout, no_profit",False
Спецтехника,Спецтехника,,"5,862,542","1,517,372",50.0%,0.0%,7.0%,7,Транспортные средства/Спецтехника/Спецтехника,no_buyout,False
Обувь / Луноходы,Луноходы,,"5,775,636","1,501",3450.0%,35.2%,0.0%,68,Обувь/Женская/Сапоги/Луноходы,no_profit,False
Боксы для коллекционирования,Боксы для коллекционирования,,"5,768,386","1,370",2950.0%,100.0%,0.0%,119,Дом/Досуг и творчество/Коллекционирование/Бокс для коллекционирования,no_profit,False
Регуляторы увеличения силы пружины,Регуляторы увеличения силы пружины,,"5,701,170",937,2600.0%,0.0%,0.0%,39,Автотовары/Запчасти/Электрооборудование/Управление и контроль/Регулятор увеличения силы пружины,"no_buyout, no_profit",False
Спорт / Колеса,Колеса в сборе,,"5,603,756","6,326",2650.0%,0.0%,0.0%,2,Автотовары/Шины и диски колесные/Колёса в сборе,"no_buyout, no_profit",False
Халаты домашние для малышей,Халаты домашние для малышей,,"5,597,345","1,199",3450.0%,50.0%,0.0%,38,Детям/Для новорожденных/Халаты и пижамы/Халат домашний для малыша,no_profit,False
Урологические препараты,Урологические препараты,,"5,484,816",336,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Дом / Глазурь для керамики,Глазурь для керамики,,"5,373,280",971,2950.0%,0.0%,0.0%,68,Дом/Досуг и творчество/Творчество и рукоделие/Аксессуары и материалы для рукоделия/Декор/Глазурь для керамики,"no_buyout, no_profit",False
Ролики для раздвижных дверей,Ролики для раздвижных дверей,seasonal,"5,363,459","6,744",0.0%,100.0%,55.0%,0,"Для ремонта/Двери, окна и фурнитура/Двери и фурнитура/Раздвижная система","no_commission, no_sellers",False
Автотовары / Поршни двигателя,Поршни переключения,,"5,338,706","1,072",2150.0%,0.0%,0.0%,29,Автотовары/Запчасти/Трансмиссия/Поршень переключения,"no_buyout, no_profit",False
Крышки коренного подшипника,Крышки коренного подшипника,,"5,315,782","1,981",2650.0%,0.0%,0.0%,27,Автотовары/Запчасти/Двигатель/Основные части двигателя/Крышка коренного подшипника,"no_buyout, no_profit",False
Анализаторы медицинские,Анализаторы медицинские,,"5,308,157","1,093",3150.0%,100.0%,0.0%,48,Здоровье/Медицинские приборы/Анализатор медицинский,no_profit,False
Защитные кольца для смартфонов,Защитные кольца для смартфонов,,"5,277,083",448,2950.0%,0.0%,0.0%,40,Электроника/Смартфоны и телефоны/Шнурки и кольца/Защитное кольцо для смартфона,"no_buyout, no_profit",False
Продукты / Шашлык,Шашлык,,"5,080,785","2,643",1650.0%,0.0%,0.0%,2,Продукты/Готовая еда/Закуски/Шашлык,"no_buyout, no_profit",False
Спорт / Гиперэкстензии,Гиперэкстензии,,"4,926,095","1,245",2750.0%,80.6%,0.0%,68,Спорт/Фитнес и тренажеры/Тренажеры/Гиперэкстензии,no_profit,False
Дом / Подставки,Подставки для гольфа,,"4,779,304",561,2750.0%,0.0%,0.0%,65,Спорт/Бильярд.Гольф.Дартс.Метание ножей/Подставка для гольфа,"no_buyout, no_profit",False
Дом / Линейные массивы,Линейные массивы,,"4,745,425",516,2350.0%,0.0%,0.0%,37,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Линейный массивы,"no_buyout, no_profit",False
Жидкости для генераторов дыма,Жидкости для генераторов дыма,,"4,702,669",450,2850.0%,100.0%,0.0%,47,Дом/Все для праздника/Украшения и декорации/Генераторы снега и дыма/Жидкость для генератора дыма,no_profit,False
Продукты / Мясные деликатесы,Мясные деликатесы,,"4,645,552",678,2150.0%,0.0%,0.0%,9,Продукты/Мясная продукция/Мясные деликатесы,"no_buyout, no_profit",False
Мебель / Кухонные модули,Модули доступа ТВ,,"4,599,851","2,195",2800.0%,100.0%,0.0%,68,"Электроника/ТВ, Аудио, Фото, Видео техника/Аксессуары для телевизоров/Модуль доступа ТВ",no_profit,False
Прокладки крышки распределительного механизма,Прокладки крышки распределительного механизма,,"4,568,517",828,2650.0%,0.0%,0.0%,52,Автотовары/Запчасти/Двигатель/Газораспределение/Прокладка крышки ГРМ,"no_buyout, no_profit",False
Сад и дача / Проекты домов,Проекты домов,,"4,564,500","1,323",2400.0%,0.0%,0.0%,61,"Книги/Дом, сад и огород/Домоводство","no_buyout, no_profit",False
Для ремонта / Ковры подкладочные,Ковры подкладочные,,"4,454,507","3,697",2850.0%,0.0%,0.0%,20,Для ремонта/Стройматериалы/Кровля и водосток/Ковер подкладочный,"no_buyout, no_profit",False
Автотовары / Подъемная панель крыши,Крыши складные,,"4,438,678","2,966",2150.0%,0.0%,0.0%,5,Автотовары/Запчасти/Кузов/Крыша складная,"no_buyout, no_profit",False
Направляющие для шлангов,Направляющие для шлангов,seasonal,"4,429,611","1,526",0.0%,100.0%,48.0%,0,Сад и дача/Полив/Держатель для шланга,"no_commission, no_sellers",False
Прицепы,Прицепы,,"4,426,817","104,300",50.0%,0.0%,6.9%,5,Транспортные средства/Прицепы,no_buyout,False
Канцтовары / Демопанели,Панели оператора,,"4,421,050","2,835",2350.0%,0.0%,0.0%,30,"Для ремонта/Электрика/Автоматы, щиты и счетчики/Панель оператора","no_buyout, no_profit",False
Спорт / Веложилеты,Веложилеты,,"4,362,378","1,283",2950.0%,0.0%,0.0%,36,Спорт/Велоспорт/Экипировка/Веложилет,"no_buyout, no_profit",False
Соединительные элементы свечных кабелей,Соединительные элементы свечных кабелей,,"4,326,288",708,2650.0%,0.0%,0.0%,34,Автотовары/Другие аксессуары и доп. оборудование/Электроника/Провода и кабели/Соединительные элементы свечного кабеля,"no_buyout, no_profit",False
Полудрагоценные камни и прочие вставки,Полудрагоценные камни и прочие вставки,,"4,323,072",572,3300.0%,0.0%,0.0%,92,Аксессуары/Ювелирные изделия/Полудрагоценные камни и прочие вставки,"no_buyout, no_profit",False
Спорт / Подпруги,Подпруги,,"4,254,082",778,2950.0%,0.0%,0.0%,51,Спорт/Конный спорт/Подпруги,"no_buyout, no_profit",False
Для ремонта / Шнек,Шнековые пары,,"4,214,361","2,015",3150.0%,0.0%,0.0%,24,Для ремонта/Инструменты и оснастка/Штукатурные инструменты/Шнековая пара,"no_buyout, no_profit",False
Радиаторы тяговой аккумуляторной батареи,Радиаторы тяговой аккумуляторной батареи,,"4,187,299","9,490",2150.0%,0.0%,0.0%,11,Автотовары/Запчасти/Система охлаждения/Радиатор тяговой аккумуляторной батареи,"no_buyout, no_profit",False
Автотовары / Ключи,Ключи активации,,"4,085,329","2,090",500.0%,0.0%,0.0%,3,Автотовары/Инструменты/Ключи,"no_buyout, no_profit",False
Дом / Банджо и домры,Банджо и домры,,"4,071,700",552,2850.0%,0.0%,0.0%,28,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Банджо и домры,"no_buyout, no_profit",False
Противоварикозные препараты,Противоварикозные препараты,,"3,938,034",565,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Электротяпки,Электротяпки,,"3,932,108","3,796",2800.0%,75.0%,0.0%,73,"Сад и дача/Садовая техника/Культиваторы, мотоблоки, мотобуры/Электротяпка",no_profit,False
Адаптеры велосипедные,Адаптеры велосипедные,,"3,915,155",532,2750.0%,87.5%,0.0%,122,Спорт/Велоспорт/Аксессуары/Адаптер велосипедный,no_profit,False
Электроника / Тревожные кнопки,Тревожные кнопки,,"3,817,824",946,2450.0%,100.0%,0.0%,57,Электроника/Умный дом/Тревожная кнопка,no_profit,False
Гематологические препараты,Гематологические препараты,,"3,809,711",458,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Автотовары / Фиксаторы пружины,Фиксаторы пружины,,"3,806,187","1,026",2650.0%,0.0%,0.0%,163,Автотовары/Инструменты/Крепежный инструмент/Фиксатор пружины,"no_buyout, no_profit",False
Усилители для микроэлектроники,Усилители для микроэлектроники,,"3,786,494",636,2850.0%,0.0%,0.0%,43,Для ремонта/Микроэлектроника/Электронные компоненты/Усилитель для микроэлектроники,"no_buyout, no_profit",False
Акции / Шплинт,Шплинты,,"3,775,928",936,3250.0%,0.0%,0.0%,68,Акции/Дачные скидки/Для ремонта/Крепеж/Держатели и крепления/Шплинт,"no_buyout, no_profit",False
Генераторы для мототехники,Генераторы для мототехники,,"3,774,192","1,265",2650.0%,50.0%,0.0%,96,Автотовары/Мототовары/Электрооборудование/Генератор для мототехники,no_profit,False
Дом / Очки кухонные,Очки кухонные,,"3,728,529","3,566",2900.0%,0.0%,0.0%,24,Дом/Кухня/Аксессуары для напитков/Очки кухонные,"no_buyout, no_profit",False
Тормоза для роликовых коньков,Тормоза для роликовых коньков,,"3,710,493","3,051",2750.0%,0.0%,0.0%,98,Спорт/Самокаты.Ролики.Скейтборды/Роликовые коньки/Тормоз для роликовых коньков,"no_buyout, no_profit",False
Дом / Кларнеты,Кларнеты,,"3,646,060",974,2850.0%,0.0%,0.0%,43,Дом/Досуг и творчество/Профессиональные музыкальные инструменты/Кларнет,"no_buyout, no_profit",False
Радиоизмерительные приборы,Радиоизмерительные приборы,,"3,640,625",674,3250.0%,0.0%,0.0%,64,Для ремонта/Микроэлектроника/Измерительные инструменты/Радиоизмерительный прибор,"no_buyout, no_profit",False
Замороженные морепродукты,Замороженные морепродукты,,"3,616,677",460,1650.0%,0.0%,0.0%,6,Продукты/Замороженная продукция,"no_buyout, no_profit",False
Стримеры видеосигнала,Стримеры видеосигнала,,"3,586,553","1,302",2350.0%,0.0%,0.0%,26,"Электроника/ТВ, Аудио, Фото, Видео техника/Аксессуары для телевизоров/Стример видеосигнала","no_buyout, no_profit",False
Дом / Карнавальная обувь,Карнавальная обувь,,"3,493,272","1,555",3250.0%,100.0%,0.0%,75,Дом/Все для праздника/Карнавальные товары/Карнавальная обувь,no_profit,False
Для ремонта / Экзоскелет,Экзоскелеты,,"3,427,735","1,362",2850.0%,50.0%,0.0%,13,Для ремонта/Спецодежда и СИЗы/Средства индивидуальной защиты и экипировка/Экзоскелет,no_profit,False
Автотовары / Тестеры,Тестеры батареек,,"3,380,239","1,802",3150.0%,0.0%,0.0%,94,Для ремонта/Инструменты и оснастка/Измерительные приборы/Тестер батареек,"no_buyout, no_profit",False
Дом / Манекены,Манекены для татуажа,seasonal,"3,367,332",225,0.0%,0.0%,0.0%,0,Красота/Аксессуары/Для макияжа/Манекен для косметологии,"no_commission, no_buyout, no_profit, no_sellers",False
Спорт / Фламенко,Фламенко,,"3,316,632","1,194",3450.0%,0.0%,0.0%,38,Спорт/Танцы.Гимнастика/Танцы/Обувь/Фламенко,"no_buyout, no_profit",False
Противогрибковые препараты,Противогрибковые препараты,,"3,280,752",565,300.0%,100.0%,0.0%,2,Лекарственные препараты,no_profit,False
Автомобили с пробегом,Автомобили с пробегом,,"3,195,000","2,831,195",50.0%,0.0%,7.0%,1,Транспортные средства/Автомобили,no_buyout,False
Линейки для прыжков в длину,Линейки для прыжков в длину,,"3,129,631","1,532",2250.0%,0.0%,0.0%,100,Спорт/Оборудование для сдачи нормативов/Линейка для прыжков в длину,"no_buyout, no_profit",False
Сад и дача / Упоры поясничные,Упоры поясничные,,"3,112,419","1,813",2950.0%,0.0%,0.0%,91,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Упоры поясничные,"no_buyout, no_profit",False
Бамперы для квадроциклов,Бамперы для квадроциклов,,"3,105,364","3,538",2600.0%,0.0%,0.0%,15,Автотовары/Мототовары/Детали корпуса/Бампер для квадроцикла,"no_buyout, no_profit",False
Юбки для каякинга,Юбки для каякинга,,"3,093,554",780,2250.0%,0.0%,0.0%,39,Аксессуары/Ремни и пояса/Юбки,"no_buyout, no_profit",False
Электроника / Цифровые ручки,Цифровые аудиокниги,seasonal,"3,079,382",399,0.0%,100.0%,22.4%,0,Книги/Аудиокниги,"no_commission, no_sellers",False
Цифровые аудиоучебники,Цифровые аудиоучебники,seasonal,"3,079,382",250,0.0%,0.0%,1.8%,0,Книги/Аудиокниги,"no_commission, no_buyout, no_sellers",False
Спорт / Набор для рыбалки,Балки надрамника,,"3,007,855","2,402",2650.0%,0.0%,0.0%,14,Автотовары/Запчасти/Ходовая часть/Прочие компоненты подвески/Балка надрамника,"no_buyout, no_profit",False
Зарядные устройства для велосипедных фонарей,Зарядные устройства для велосипедных фонарей,,"3,000,783",884,2950.0%,0.0%,0.0%,55,Спорт/Велоспорт/Аксессуары/Зарядное устройство для велосипедного фонаря,"no_buyout, no_profit",False
Мебель / Системы,Системы CO2,,"2,956,311",894,2150.0%,0.0%,0.0%,82,"Зоотовары/Аквариумистика/Фильтрация, терморегуляция, освещение/Система CO2","no_buyout, no_profit",False
Мужчинам / Велоштаны,Велоштаны,,"2,877,652",996,3450.0%,100.0%,0.0%,53,Спорт/Для мужчин/Одежда/Брюки и шорты/Велоштаны,no_profit,False
Дом / Прессы для мяса,Прессы для мяса,,"2,822,196",871,2950.0%,100.0%,0.0%,168,Дом/Кухня/Кухонная утварь/Прессы для мяса,no_profit,False
Продукты / Кальвадос,Кальвадос,,"2,695,932","12,270",450.0%,0.0%,0.0%,3,Продукты/Алкоголь/Крепкие напитки/Кальвадос,"no_buyout, no_profit",False
Для ремонта / Ворота,Ворота,,"2,680,396","1,053",2850.0%,0.0%,0.0%,137,Для ремонта/Стройматериалы/Заборы и ограждения/Ворота,"no_buyout, no_profit",False
Купальники ортопедические,Купальники ортопедические,,"2,667,045","2,673",3250.0%,0.0%,0.0%,13,Женщинам/Будущие мамы/Белье и купальники,"no_buyout, no_profit",False
Красота / Бальзамы,Бальзамы алкогольные,,"2,656,538",549,450.0%,0.0%,0.0%,2,Продукты/Алкоголь/Крепкие напитки/Бальзам алкогольный,"no_buyout, no_profit",False
Продукты / Сосиски,Сосиски,,"2,629,724",344,1650.0%,0.0%,0.0%,3,Продукты/Мясная продукция/Сосиски,"no_buyout, no_profit",False
Антигистаминные препараты,Антигистаминные препараты,,"2,566,626",565,300.0%,0.0%,0.0%,2,Лекарственные препараты,"no_buyout, no_profit",False
Спорт / Оголовья для лошадей,Оголовья для лошадей,,"2,459,010","2,182",2950.0%,0.0%,0.0%,139,Спорт/Конный спорт/Оголовья для лошадей,"no_buyout, no_profit",False
Спорт / Термобаки,Термобаки,,"2,446,516",928,2950.0%,100.0%,0.0%,49,Спорт/Бег.Ходьба/Бег/Аксессуары/Термобаки,no_profit,False
Продукты / Арманьяк,Арманьяк,,"2,427,450","16,025",450.0%,0.0%,0.0%,1,Продукты/Алкоголь/Крепкие напитки/Арманьяк,"no_buyout, no_profit",False
Аксессуары для молокоотсосов,Аксессуары для молокоотсосов,,"2,367,514",906,2650.0%,53.5%,0.0%,101,Детям/Товары для малыша/Аксессуары для кормления/Аксессуар для молокоотсоса,no_profit,False
Для ремонта / Шифер,Шифер,,"2,340,039","4,707",2350.0%,0.0%,0.0%,8,Для ремонта/Стройматериалы/Кровля и водосток/Шифер,"no_buyout, no_profit",False
Для ремонта / Сэндвич панели,Сэндвич панели,,"2,279,232","2,063",2800.0%,0.0%,0.0%,11,Для ремонта/Стройматериалы/Листовые строительные материалы и профили/Сэндвич панель,"no_buyout, no_profit",False
Предохранительные трубки,Предохранительные трубки,,"2,257,092","1,056",2650.0%,0.0%,0.0%,34,Автотовары/Запчасти/Двигатель/Крепежи и фиксаторы/Предохранительная трубка,"no_buyout, no_profit",False
Фильтры для микроскопов,Фильтры для микроскопов,,"2,233,560","1,059",2750.0%,100.0%,0.0%,36,Электроника/Развлечения и гаджеты/Фильтр для микроскопа,no_profit,False
Проставки для квадроциклов,Проставки для квадроциклов,,"2,218,517","1,074",2650.0%,0.0%,0.0%,24,Автотовары/Мототовары/Ходовая часть/Проставка для квадроцикла,"no_buyout, no_profit",False
Крышки двигателя мототехники,Крышки двигателя мототехники,,"2,154,859","1,282",2650.0%,57.1%,0.0%,54,Автотовары/Мототовары/Запчасти для двигателя/Крышка двигателя мототехники,no_profit,False
Зоотовары / Снуды для собак,Снуды для собак,,"2,128,480",570,2150.0%,55.6%,0.0%,121,Зоотовары/Одежда/Снуды для собак,no_profit,False
Зоотовары / Дымарь для пчел,Дымари для пчел,,"2,106,964",701,2150.0%,0.0%,0.0%,65,Сад и дача/Садовые инструменты/Инструменты для пасечников/Дымарь для пчел,"no_buyout, no_profit",False
Автотовары / Центральные замки,Центральные консоли,,"2,101,312","1,291",2650.0%,0.0%,0.0%,123,Автотовары/Запчасти/Детали салона/Центральная консоль,"no_buyout, no_profit",False
Для ремонта / ЛСТК профиль,ЛСТК профиль,,"2,099,291",518,2850.0%,0.0%,0.0%,35,Для ремонта/Стройматериалы/Листовые строительные материалы и профили/Профиль для гипсокартона,"no_buyout, no_profit",False
Здоровье / Иглы Губера,Иглы акупунктурные,,"2,078,417",682,3150.0%,95.0%,0.0%,25,Здоровье/Медицинские изделия/Иглы Губера,no_profit,False
Завязки для кулинарии,Завязки для кулинарии,,"2,078,375",406,2950.0%,0.0%,0.0%,49,Дом/Кухня/Выпечка и запекание/Завязка для кулинарии,"no_buyout, no_profit",False
Таблички для органайзеров и ящиков,Таблички для органайзеров и ящиков,,"2,072,369",597,2650.0%,0.0%,0.0%,57,Дом/Хранение вещей/Вешалки/Табличка для органайзера и ящика,"no_buyout, no_profit",False
Спорт / Лыжи водные,Лыжи водные,,"2,011,556","1,180",2250.0%,0.0%,0.0%,39,Спорт/Водные виды спорта/Аксессуары/Лыжи водные,"no_buyout, no_profit",False
Красота / Муляжи для маникюра,Муляжи для маникюра,,"1,994,954",623,3250.0%,100.0%,0.0%,113,Красота/Аксессуары/Для маникюра и педикюра/Муляж для маникюра,no_profit,False
Продукты / Замороженная рыба,Замороженная рыба,,"1,983,720",386,1650.0%,0.0%,0.0%,8,Продукты/Замороженная продукция,"no_buyout, no_profit",False
Индикаторы уровня жидкости,Индикаторы уровня жидкости,,"1,975,103","1,208",2550.0%,0.0%,0.0%,52,Электроника/Системы безопасности/Датчики и сенсоры/Индикатор уровня жидкости,"no_buyout, no_profit",False
Станки для хореографии,Станки для хореографии,,"1,971,852","2,228",2750.0%,0.0%,0.0%,22,Спорт/Танцы.Гимнастика/Танцы/Аксессуары/Станки для хореографии,"no_buyout, no_profit",False
Акции / Фарш,Фарш,,"1,928,629",260,1650.0%,0.0%,0.0%,3,Акции/Дачные скидки/Продукты/Мясная продукция/Фарш,"no_buyout, no_profit",False
Бытовая техника / Фонтаны для напитков,Фонтаны для напитков,,"1,908,694","2,200",1950.0%,100.0%,0.0%,23,Бытовая техника/Техника для кухни/Аксессуары для кухонной техники/Фонтан для напитков,no_profit,False
Мужчинам / Косухи,Косухи для малышей,,"1,868,656","1,982",3450.0%,85.7%,0.0%,21,Детям/Для девочек/Костюмы/Костюм для малыша,no_profit,False
Блоки с вытяжной лентой,Блоки с вытяжной лентой,,"1,857,910","1,328",2150.0%,0.0%,0.0%,49,Автотовары/Аксессуары в салон и багажник/Аварийные принадлежности/Блок с вытяжной лентой,"no_buyout, no_profit",False
Сертификаты расширенной гарантии,Сертификаты расширенной гарантии,no_cat_path,"1,857,308","1,232",2750.0%,0.0%,0.0%,20,,"no_buyout, no_profit",False
Бытовая техника / Медленноварки,Медленноварки,,"1,856,029","3,112",2450.0%,0.0%,0.0%,65,Бытовая техника/Техника для кухни/Приготовление блюд/Медленноварка,"no_buyout, no_profit",False
Раколовки,Раколовки,no_cat_path,"1,847,575",609,2750.0%,0.0%,0.0%,53,,"no_buyout, no_profit",False
Для ремонта / Рольставни,Рольставни,,"1,845,753","1,847",2850.0%,0.0%,0.0%,21,"Для ремонта/Двери, окна и фурнитура/Окна и фурнитура/Рольставни","no_buyout, no_profit",False
Компенсаторы плавучести,Компенсаторы плавучести,,"1,833,982",728,2700.0%,0.0%,0.0%,28,Спорт/Водные виды спорта/Аксессуары/Компенсатор плавучести,"no_buyout, no_profit",False
Продукты / Замороженное мясо,Замороженное мясо,,"1,800,155","1,596",1650.0%,0.0%,0.0%,3,Продукты/Здоровое питание/Замороженное мясо,"no_buyout, no_profit",False
Спорт / Виброгасители,Гасители пульсаций,,"1,799,612","1,857",2150.0%,0.0%,0.0%,8,Автотовары/Запчасти/Трансмиссия/Гаситель пульсаций,"no_buyout, no_profit",False
Туалеты уличные сборные,Туалеты уличные сборные,,"1,747,739","3,468",800.0%,0.0%,0.0%,12,Сад и дача/Готовые строения и срубы/Туалет уличный сборный,"no_buyout, no_profit",False
Акции / Часы наручные,Офтальмоскопы ручные,,"1,687,310",792,3150.0%,0.0%,0.0%,20,Здоровье/Медицинские приборы/Офтальмоскоп ручной,"no_buyout, no_profit",False
Красота / Лэшбоксы,Боксы для часов,,"1,675,013","1,715",2550.0%,0.0%,0.0%,78,Дом/Предметы интерьера/Часы/Бокс для часов,"no_buyout, no_profit",False
Спорт / Подседельные хомуты,Площадки под хомуты,,"1,634,204",901,3250.0%,100.0%,0.0%,42,Спорт/Велоспорт/Аксессуары/Подседельный хомут,no_profit,False
Игрушки / Лодки и катеры,Корпусные лодки,,"1,624,818","104,900",50.0%,0.0%,6.9%,2,Игрушки/Игрушечный транспорт/Лодки и катеры,no_buyout,False
Товары для взрослых / Корсеты эротик,Корсеты эротик,,"1,616,265","1,632",2950.0%,100.0%,0.0%,22,Товары для взрослых/Белье и аксессуары/Корсет эротик,no_profit,False
Подъемные панели крыши,Подъемные панели крыши,,"1,594,034","3,588",2150.0%,0.0%,0.0%,6,Автотовары/Запчасти/Кузов/Подъемная панель крыши,"no_buyout, no_profit",False
Акции / Охлажденная птица,Охлажденная птица,,"1,591,233",544,1650.0%,0.0%,0.0%,2,Акции/Дачные скидки/Продукты/Мясная продукция/Охлажденная птица,"no_buyout, no_profit",False
Красота / Наборы,Наборы бильярдные,,"1,585,439","1,141",2250.0%,0.0%,0.0%,58,Спорт/Бильярд.Гольф.Дартс.Метание ножей/Набор бильярдный,"no_buyout, no_profit",False
Товары для взрослых / Маски эротик,Маски СИПАП,,"1,571,224","2,943",2550.0%,100.0%,0.0%,29,Здоровье/Медицинские приборы/Маска СИПАП,no_profit,False
Аксессуары и комплектующие для яхт,Аксессуары и комплектующие для яхт,,"1,553,822","2,503",2150.0%,0.0%,0.0%,21,Спорт/Охота и рыбалка/Рыбалка/Лодки и аксессуары/Ремкомплект для резиновой лодки,"no_buyout, no_profit",False
Налобники от насекомых,Налобники от насекомых,,"1,551,316",566,2150.0%,0.0%,0.0%,41,Зоотовары/Амуниция и дрессировка/Налобник от насекомых,"no_buyout, no_profit",False
Здоровье / Вертикализатор,Вертикализаторы,,"1,531,747","5,513",3250.0%,0.0%,0.0%,32,Здоровье/Реабилитация/Вертикализатор,"no_buyout, no_profit",False
Центроискатели,Центроискатели,no_cat_path,"1,529,125",785,3150.0%,0.0%,0.0%,58,,"no_buyout, no_profit",False
Акции / Агрохимикат,Агрохимикаты,,"1,517,287",501,2950.0%,0.0%,0.0%,40,Сад и дача/Удобрения и уход за растениями/Агрохимикаты и пестициды,"no_buyout, no_profit",False
Красота / Сауны инфракрасные,Сауны инфракрасные,,"1,501,352","3,286",2550.0%,0.0%,0.0%,15,Бытовая техника/Красота и здоровье/Косметические аппараты/Сауны инфракрасные,"no_buyout, no_profit",False
Препараты от вредных привычек,Препараты от вредных привычек,,"1,476,632",565,300.0%,100.0%,0.0%,2,Лекарственные препараты,no_profit,False
Спорт / Набор для рыбалки,Балки продольные,,"1,467,303","2,164",2650.0%,0.0%,0.0%,22,Автотовары/Запчасти/Ходовая часть/Прочие компоненты подвески/Балка продольная,"no_buyout, no_profit",False
Тиристоры и симисторы,Тиристоры и симисторы,,"1,447,965",894,2350.0%,0.0%,0.0%,43,Для ремонта/Микроэлектроника/Электронные компоненты/Тиристор и симистор,"no_buyout, no_profit",False
Аксессуары / Козырьки,Козырьки спортивные,,"1,441,565",592,2950.0%,0.0%,0.0%,50,Спорт/Бег.Ходьба/Бег/Аксессуары/Козырек,"no_buyout, no_profit",False
Держатели для бутылочек,Держатели для бутылочек,,"1,439,331","1,750",2650.0%,0.0%,0.0%,84,Детям/Товары для малыша/Аксессуары для кормления/Держатель для бутылочки,"no_buyout, no_profit",False
Модули управления для водонагревателей,Модули управления для водонагревателей,,"1,414,278","1,942",2550.0%,33.3%,0.0%,24,Бытовая техника/Техника для дома/Водонагреватели/Модуль управления для водонагревателя,no_profit,False
Транспортные средства / Мотобуксировщики,Мотобуксировщики,,"1,406,233","159,000",50.0%,0.0%,6.9%,2,Транспортные средства/Мототехника/Мотобуксировщик,no_buyout,False
Сад и дача / Выжигатели сорняков,Выжигатели сорняков,,"1,405,766","2,060",2350.0%,86.4%,0.0%,17,Сад и дача/Садовые инструменты/Хранение садового инструмента/Выжигатели сорняков,no_profit,False
Комплекты реечного потолка,Комплекты реечного потолка,,"1,401,281","9,048",2350.0%,0.0%,0.0%,10,Для ремонта/Отделочные материалы/Потолочные покрытия/Комплект реечного потолка,"no_buyout, no_profit",False
