display,name,niche_status,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales,mpstats_path,issues,is_critical
Продукты / Молоко капсульное,Молоко капсульное,seasonal,0,626,2150.0%,100.0%,0.0%,0,Продукты/Молочные продукты и яйца/Молоко капсульное,"no_profit, no_sellers",False
Штифты для ремешков,Штифты для ремешков,dead,0,500,0.0%,100.0%,29.4%,0,,"no_commission, no_sellers",False
Игры (цифровой контент),Игры (цифровой контент),seasonal,0,"1,040",0.0%,0.0%,43.7%,0,Электроника/Игровые консоли и игры/Игры,"no_commission, no_buyout, no_sellers",False
Продукты / Маш,Кармашки в шкафчик,seasonal,0,399,0.0%,0.0%,22.4%,0,Дом/Детская/Хранение вещей/Карманы на кровать,"no_commission, no_buyout, no_sellers",False
Женщинам / Бандажи,Бандажи набедренные,dead,0,"2,667",0.0%,100.0%,51.8%,0,Здоровье/Ортопедия/Бандажи и ортезы/Бандаж ортопедический,"no_commission, no_sellers",False
Крепления джокерной системы,Крепления джокерной системы,seasonal,0,386,0.0%,100.0%,21.2%,0,Мебель/Мебельная фурнитура/Система Джокер,"no_commission, no_sellers",False
Кюлоты,Кюлоты,dead,0,"1,898",0.0%,100.0%,49.7%,0,,"no_commission, no_sellers",False
Жидкости для электронных сигарет,Жидкости для электронных сигарет,dead,0,423,2350.0%,100.0%,0.0%,0,Автотовары/Масла и жидкости,"no_profit, no_sellers",False
Для ремонта / Генератор,Кварцевые генераторы,dead,0,365,2850.0%,0.0%,0.0%,0,Для ремонта/Микроэлектроника/Электронные компоненты/Кварцевый генератор,"no_buyout, no_profit, no_sellers",False
Курники,Курники,dead,0,438,1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Очистители цементных загрязнений,Очистители цементных загрязнений,seasonal,0,"1,114",2850.0%,100.0%,0.0%,0,Автотовары/Автокосметика и автохимия/Очистители автомобильные/Очиститель кузова,"no_profit, no_sellers",False
Дом / Простыни,Простыни натяжные,seasonal,0,825,0.0%,100.0%,40.3%,0,Дом/Спальня/Постельные принадлежности/Простыни,"no_commission, no_sellers",False
Ароматические попурри,Ароматические попурри,seasonal,0,693,0.0%,100.0%,37.1%,0,Дом/Парфюмерия для дома/Воск ароматический,"no_commission, no_sellers",False
Другие полки для дома,Другие полки для дома,seasonal,0,"2,624",0.0%,90.5%,51.7%,0,Бытовая техника/Техника для дома,"no_commission, no_sellers",False
Колье ювелирная бижутерия,Колье ювелирная бижутерия,dead,0,"2,712",0.0%,0.0%,51.9%,0,Аксессуары/Бижутерия/Колье,"no_commission, no_buyout, no_sellers",False
Кусторезы электрические,Кусторезы электрические,seasonal,0,"9,763",0.0%,100.0%,55.6%,0,Сад и дача/Садовые инструменты/Садовый режущий инструмент/Кусторез,"no_commission, no_sellers",False
Очистители аэрозольные,Очистители аэрозольные,seasonal,0,"10,552",0.0%,100.0%,55.7%,0,Автотовары/Автокосметика и автохимия/Очистители автомобильные,"no_commission, no_sellers",False
Аксессуары для фитоламп,Аксессуары для фитоламп,seasonal,0,578,0.0%,93.3%,33.1%,0,Сад и дача/Удобрения и уход за растениями/Все для выращивания рассады/Фитолампы для растений и аксессуары,"no_commission, no_sellers",False
Коврики на стулья,Коврики на стулья,seasonal,0,"2,919",0.0%,98.4%,52.3%,0,Детям/Детская комната/Декор для детской комнаты/Коврики детские,"no_commission, no_sellers",False
Продукты / Имбирь маринованный,Имбирь,seasonal,0,344,0.0%,100.0%,16.9%,0,Продукты/Бакалея/Консервация/Имбирь маринованный,"no_commission, no_sellers",False
Дом / Держатели,Держатели для полок,seasonal,0,198,0.0%,100.0%,0.0%,0,Дом/Ванная/Держатели,"no_commission, no_profit, no_sellers",False
Броши ювелирная бижутерия,Броши ювелирная бижутерия,seasonal,0,808,0.0%,100.0%,39.9%,0,Ювелирные изделия/Броши,"no_commission, no_sellers",False
Дом / Коврики комнатные,Коврики комнатные,seasonal,0,"2,990",0.0%,100.0%,52.4%,0,Дом/Гостиная/Коврики комнатные,"no_commission, no_sellers",False
Запчасти для посудомоечных машин,Запчасти для посудомоечных машин,seasonal,0,"2,644",0.0%,100.0%,51.8%,0,Бытовая техника/Крупная бытовая техника/Аксессуары и запчасти для крупной бытовой техники/Аксессуары и запчасти для посудомоечных машин,"no_commission, no_sellers",False
Брелоки для автомобильных ключей,Брелоки для автомобильных ключей,seasonal,0,428,0.0%,100.0%,24.8%,0,Аксессуары/Бижутерия/Брелоки/Для автомобильных ключей,"no_commission, no_sellers",False
Несессеры,Несессеры,dead,0,724,0.0%,100.0%,37.9%,0,,"no_commission, no_sellers",False
Сад и дача / Септик,Антисептик для бань,seasonal,0,616,2850.0%,91.7%,0.0%,0,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Антисептик-пропитка,"no_profit, no_sellers",False
Кукурузолущилки,Кукурузолущилки,dead,0,"2,120",0.0%,0.0%,50.5%,0,,"no_commission, no_buyout, no_sellers",False
Кумыс,Кумыс,dead,0,"1,269",1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Ножницы садовые аккумуляторные,Ножницы садовые аккумуляторные,seasonal,0,"2,048",0.0%,100.0%,50.3%,0,"Сад и дача/Садовая техника/Садовые ножницы, кусторезы и секаторы/Ножницы садовые","no_commission, no_sellers",False
Водосгоны,Водосгоны,dead,0,860,0.0%,96.6%,41.0%,0,,"no_commission, no_sellers",False
Клещи токоизмерительные,Клещи токоизмерительные,seasonal,0,"1,063",0.0%,100.0%,44.0%,0,Для ремонта/Инструменты и оснастка/Монтажные инструменты/Клещи строительные,"no_commission, no_sellers",False
Канцтовары / Клей,Клей обойный,seasonal,0,"10,220",0.0%,100.0%,55.6%,0,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,"no_commission, no_sellers",False
Пламперы для губ,Пламперы для губ,dead,0,334,0.0%,100.0%,15.7%,0,,"no_commission, no_sellers",False
Стрипсы для декольте,Стрипсы для декольте,dead,0,50,0.0%,100.0%,0.0%,0,,"no_commission, no_profit, no_sellers",False
Канцтовары / Клей,Клей монтажный,seasonal,0,575,0.0%,100.0%,33.0%,0,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,"no_commission, no_sellers",False
Канцтовары / Клей,Клей эпоксидный,seasonal,0,330,0.0%,100.0%,15.2%,0,Для ремонта/Лакокрасочные материалы/Покрытия для дерева/Клей строительный,"no_commission, no_sellers",False
Клапаны регулирующие садовые,Клапаны регулирующие садовые,seasonal,0,295,0.0%,100.0%,10.2%,0,Сад и дача/Садовая техника/Аксессуары для насосов и станций/Обратный клапан для насоса,"no_commission, no_sellers",False
Приборы для разогрева еды,Приборы для разогрева еды,seasonal,0,"2,490",0.0%,100.0%,51.5%,0,Бытовая техника/Техника для кухни/Приготовление блюд/Прибор для выпечки,"no_commission, no_sellers",False
Корсажи,Корсажи,dead,0,0,0.0%,50.0%,0.0%,0,,"no_commission, no_profit, no_sellers",False
Стейки,Стейки,dead,0,430,1650.0%,95.4%,0.0%,0,,"no_profit, no_sellers",False
Подарочные коробки 18+,Подарочные коробки 18+,seasonal,0,326,0.0%,100.0%,14.7%,0,Дом/Все для праздника/Подарочная упаковка/Подарочная коробка,"no_commission, no_sellers",False
Ребрышки,Ребрышки,dead,0,0,1650.0%,0.0%,0.0%,0,,"no_buyout, no_profit, no_sellers",False
Отражатели для нивелиров,Отражатели для нивелиров,seasonal,0,369,0.0%,100.0%,19.6%,0,Для ремонта/Инструменты и оснастка/Измерительные приборы/Комплектующие для лазерного уровня и нивелира,"no_commission, no_sellers",False
