display,name,revenue_mln,avg_price,commission_pct,buyout_pct,parent_category,full_path,issues,niche_status,fix_action
Электроника / Цифровые ручки,Уровни цифровые,0.0,4500.0,0.0,1.0,Для ремонта,Для ремонта/Инструменты и оснастка/Измерительные приборы/Комплектующие для лазерного уровня и нивелира,zero_revenue,,Мёртвая ниша
Цифровые аудиоучебники,Цифровые аудиоучебники,0.0,250.0,0.0,0.0,Книги,Книги/Аудиокниги,zero_revenue,,Мёртвая ниша
Продукты / Приправы и специи,Специи,0.0,312.0,0.0,1.0,Продукты,Продукты/Бакалея/Приправы и специи,zero_revenue,,Мёртвая ниша
Тяговые аккумуляторные батареи,Тяговые аккумуляторные батареи,0.0,11723.0,0.0,1.0,Автотовары,Автотовары/Запчасти/Электрооборудование/Запуск и питание/Аккумулятор для автомобиля,zero_revenue,,Мёртвая ниша
Детям / Таблички детские,Таблички для бани,0.0,349.0,0.0,0.9615,Сад и дача,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Таблички и наклейки информационные,zero_revenue,,Мёртвая ниша
Автотовары / Съемники,Съемники шарниров,0.0,536.0,0.0,0.9344,Автотовары,Автотовары/Инструменты/Съемники/Съемник автомобильный,zero_revenue,,Мёртвая ниша
Курники,Курники,0.0,438.5,16.5,0.0,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Продукты / Сыр,Сырные шарики,0.0,242.0,16.5,1.0,Продукты,Продукты/Здоровое питание/Сыр,zero_revenue,,Мёртвая ниша
Подстилки для бассейнов,Подстилки для бассейнов,0.0,2789.0,0.0,1.0,Сад и дача,Сад и дача/Товары для бани и сауны/Предметы интерьера бани/Подстилки противоскользящие,zero_revenue,seasonal,Сезонная — данные ограничены
Водосгоны,Водосгоны,0.0,860.0,0.0,0.966,БЕЗ ПУТИ,,"no_path, zero_revenue",,Мёртвая ниша
Цифровые листы для записи,Цифровые листы для записи,0.0,274.5,0.0,0.0,Канцтовары,Канцтовары/Бумажная продукция/Ежедневники и записные книжки/Книга для записи рецептов,zero_revenue,,Мёртвая ниша
Красота / Маникюрные наборы,Пушеры маникюрные,0.0,280.5,0.0,0.5,Красота,Красота/Аксессуары/Для маникюра и педикюра/Инструмент для маникюра и педикюра,zero_revenue,,Мёртвая ниша
Дом / Фольга пищевая,Фольга для маникюра,0.0,303.0,0.0,1.0,Красота,Красота/Аксессуары/Для маникюра и педикюра/Декор для маникюра,zero_revenue,,Мёртвая ниша
Футболки пижамные,Футболки пижамные,0.0,839.0,0.0,0.0,Мужчинам,Мужчинам/Футболки,zero_revenue,,Мёртвая ниша
Дом / Пьезозажигалки,Зажигалки бензиновые,0.0,352.0,0.0,0.0,Дом,Дом/Кухня/Кухонная утварь/Пьезозажигалки,zero_revenue,dead,DEAD — скрыть из поиска
Для ремонта / Рейки декоративные,Рейки нивелирные,0.0,9600.0,0.0,0.5,Для ремонта,Для ремонта/Инструменты и оснастка/Измерительные приборы/Нивелир,zero_revenue,,Мёртвая ниша
Витаминные комплексы,Витаминные комплексы,0.0,1666.5,0.0,0.0,Игрушки,Игрушки/Игровые комплексы,zero_revenue,dead,DEAD — скрыть из поиска
Продукты / Сашими,Сашими,0.0,818.0,16.5,0.0,Продукты,Продукты/Готовая еда/Роллы и суши/Сашими,zero_revenue,,Мёртвая ниша
