display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Спорт / Тенты,Тенты для мотоциклов,"50,486,319","1,510",2650.0%,87.2%,68.3%,283
Автотовары / Двигатели вентилятора,Двигатели в сборе,"50,473,994","1,767",2650.0%,80.7%,67.7%,106
Электроника / Чехлы-бамперы для телефонов,Бамперы силовые,"50,381,585","2,234",2650.0%,100.0%,66.5%,104
Средства для уборки за животными,Средства для уборки за животными,"50,372,819",779,2150.0%,92.6%,69.1%,488
Зоотовары / Генераторы импульсов,Генераторы импульсов,"50,326,893","4,266",2150.0%,83.7%,76.0%,93
Дом / Отбеливатели,Отбеливатели,"50,177,879",661,2950.0%,95.1%,57.2%,909
Комплекты мягкой мебели,Комплекты мягкой мебели,"50,105,751","2,545",2150.0%,87.5%,75.4%,44
Сад и дача / Зонты пляжные,Зонты пляжные,"50,105,212","1,793",2350.0%,83.3%,71.5%,374
Дом / Соусники,Соусники,"50,103,554",732,2950.0%,85.2%,58.1%,1052
Для ремонта / Аэраторы кровельные,Аэраторы кровельные,"50,063,073","1,719",2050.0%,86.3%,74.5%,137
Для ремонта / Каркасы для ванн,Каркасы для ванн,"50,045,920","2,919",2750.0%,90.9%,66.7%,57
Автотовары / Круглогубцы,Круглогубцы,"49,995,724",794,3150.0%,83.2%,55.8%,178
Спорт / Амортизаторы задние,Амортизаторы задние,"49,957,394","2,562",2750.0%,70.9%,68.4%,108
Для ремонта / Киянки,Киянки,"49,850,902",966,3150.0%,88.7%,59.6%,595
Канцтовары / Стержни для ручек,Стержни для ручек,"49,766,463",618,2950.0%,93.8%,58.1%,491
Слинг-переноски для животных,Слинг-переноски для животных,"49,720,286","2,452",2150.0%,49.5%,72.9%,316
Детям / Манежи,Манежи,"49,699,718","3,396",2650.0%,81.3%,70.7%,284
Спорт / Скамьи спортивные,Скамьи спортивные,"49,696,324","9,324",2750.0%,86.3%,71.5%,111
Продукты / Кисели,Кисели,"49,692,327",483,2150.0%,97.3%,62.1%,353
Товары для взрослых / Вибраторы,Вибраторы глубинные,"49,683,897","5,510",3050.0%,100.0%,67.9%,181
Очистители для унитаза,Очистители для унитаза,"49,650,810",594,2950.0%,96.3%,56.3%,709
Дом / Совки,Совки,"49,641,241",898,2950.0%,72.6%,60.4%,649
Дом / Фольга пищевая,Фольга пищевая,"49,624,785",674,2950.0%,95.2%,58.5%,508
Канцтовары / Бейджи,Бейджи,"49,604,709",577,2450.0%,87.5%,57.8%,928
Дом / Бумага для рукоделия,Бумага для рукоделия,"49,581,175",482,2950.0%,84.1%,51.4%,740
Расчески для животных,Расчески для животных,"49,570,501",649,2150.0%,91.0%,65.6%,1185
Женщинам / Пэстис,Пэстис,"49,556,050",567,3450.0%,90.2%,49.5%,365
Трубы для канализации,Трубы для канализации,"49,551,440",824,2750.0%,100.0%,61.5%,282
Газовые плиты туристические,Газовые плиты туристические,"49,514,707","1,600",2750.0%,82.4%,65.9%,585
Подставки для мобильных устройств,Подставки для мобильных устройств,"49,463,079",734,2950.0%,87.2%,58.6%,1964
Стамески,Стамески,"49,424,361","1,020",3150.0%,85.6%,59.2%,414
Игрушки / Игрушки-подвески,Игрушки-подвески,"49,419,661",924,2850.0%,84.4%,61.7%,957
Книги / Журналы,Журналы,"49,364,030",409,2950.0%,94.6%,48.9%,464
Дом / Терки,Терки,"49,362,844",752,2950.0%,90.3%,59.7%,1454
Другие аксессуары для багажа,Другие аксессуары для багажа,"49,324,682","1,036",3450.0%,100.0%,58.2%,272
Аксессуары / Шпильки-спиральки,Шпильки,"49,283,038",502,3450.0%,91.0%,49.3%,884
Бандажи до- и послеродовые,Бандажи до- и послеродовые,"49,276,753",760,3150.0%,52.8%,51.0%,343
Бытовая техника / Помпы для воды,Помпы для воды,"49,243,023","1,090",2550.0%,93.6%,66.8%,874
Электроника / Диктофоны,Диктофоны,"49,239,850","2,742",2850.0%,64.8%,68.1%,312
Дом / Вазон,Вазоны,"49,226,684","1,234",2950.0%,79.7%,63.2%,373
Ножницы парикмахерские,Ножницы парикмахерские,"49,019,797","1,239",3250.0%,89.2%,60.5%,547
Автотовары / Топливные баки,Топливные баки,"48,985,796","1,244",2650.0%,92.0%,66.9%,340
Автотовары / Алкотестеры,Алкотестеры,"48,973,076","1,285",2650.0%,87.0%,65.5%,857
Канцтовары / Демопанели,Панели приборов,"48,898,045","1,215",2650.0%,77.4%,64.7%,333
Игрушки / Мячики,Мячики,"48,848,863",697,2850.0%,87.8%,59.6%,999
Детям / Ходунки для малышей,Ходунки для малышей,"48,761,544","4,304",2650.0%,74.2%,71.2%,393
Шины автомобильные б/у,Шины автомобильные б/у,"48,703,883","11,174",1900.0%,100.0%,80.3%,26
Сад и дача / Пропалыватели,Пропалыватели,"48,602,810",754,2950.0%,89.7%,58.9%,716
Аксессуары для фотосессий,Аксессуары для фотосессий,"48,558,806",742,3250.0%,77.7%,53.5%,1023
Инструменты запрессовочно-выпрессовочные,Инструменты запрессовочно-выпрессовочные,"48,521,588","2,102",2650.0%,87.5%,70.5%,219
Чехлы для игровых консолей,Чехлы для игровых консолей,"48,516,977",833,3450.0%,89.7%,53.0%,261
Сад и дача / Валики спортивные,Валики спортивные,"48,489,624","1,134",2750.0%,83.7%,64.7%,361
Детям / Автотреки,Автотреки,"48,372,583","1,956",2850.0%,82.8%,67.0%,590
Ремкомплекты для насосов,Ремкомплекты для насосов,"48,346,239","1,702",2950.0%,84.6%,64.9%,273
Электроника / Виниловые проигрыватели,Виниловые полы,"48,318,472","3,797",2850.0%,77.1%,68.8%,70
Женщинам / Трусы одноразовые,Трусы одноразовые,"48,308,306",776,3250.0%,92.5%,58.0%,381
Спорт / Боксерки,Боксерки,"48,202,975","1,368",3450.0%,40.4%,47.9%,116
Красота / Эссенции,Эссенции,"48,160,887","1,219",3250.0%,88.7%,57.6%,797
Электроника / Mesh системы,Mesh системы,"47,963,517","8,836",2450.0%,94.7%,74.1%,120
Мужчинам / Фоторамки,Рамки автомобильные,"47,940,231",994,2650.0%,65.1%,63.5%,429
Запчасти для водонагревателей,Запчасти для водонагревателей,"47,892,184","1,108",2750.0%,87.0%,62.8%,385
Детям / Электро-качели,Электро-качели,"47,874,801","6,058",2650.0%,78.0%,71.9%,341
Подставки для ноутбуков,Подставки для ноутбуков,"47,757,731","1,464",2450.0%,86.1%,70.1%,771
Усилители интернет-сигнала,Усилители интернет-сигнала,"47,729,862","3,537",2450.0%,86.4%,72.6%,206
Автотовары / Чехлы,Чехлы для теплиц,"47,700,054","1,745",2950.0%,84.9%,65.0%,189
Здоровье / Тест-полоски крови,Тест-полоски крови,"47,694,225","1,445",3050.0%,95.2%,63.7%,132
Комплектующие для шиномонтажа,Комплектующие для шиномонтажа,"47,672,384",679,2650.0%,87.2%,60.9%,400
Мужчинам / Жилеты рабочие,Жилеты рабочие,"47,643,274","1,212",3450.0%,54.6%,53.5%,152
Дом / Вазы,Вазы на кладбище,"47,595,872",765,3450.0%,81.0%,56.9%,182
Датчики контроля массы и объема воздуха,Датчики контроля массы и объема воздуха,"47,578,656","3,959",2650.0%,64.0%,71.4%,96
Сад и дача / Стулья складные,Стулья складные,"47,538,676","3,682",2650.0%,78.9%,71.1%,376
Красота / Уголки кухонные,Уголки кухонные,"47,516,577","28,087",2150.0%,100.0%,78.2%,70
Дом / Ловец снов,Ловцы снов,"47,492,430",729,2950.0%,83.2%,58.1%,516
Соединительные элементы,Соединительные элементы,"47,479,494",783,2650.0%,90.7%,60.9%,317
Продукты / Красители пищевые,Красители пищевые,"47,422,093",449,1650.0%,90.1%,64.7%,494
Стопоры и ограничители двери,Стопоры и ограничители двери,"47,352,511",520,2350.0%,90.6%,60.6%,1124
Продукты / Джемы,Джемы,"47,323,688",602,1650.0%,93.8%,69.5%,286
Аккумуляторы для лодок,Аккумуляторы для лодок,"47,289,823","8,732",2950.0%,70.0%,69.9%,64
Зоотовары / Клетки для птиц,Клетки для птиц,"47,212,760","1,456",2150.0%,77.0%,71.7%,346
Автотовары / Очки для водителей,Очки для водителей,"47,168,553",780,2650.0%,62.0%,55.9%,545
Дом / Мармиты,Мармиты,"47,140,476","3,712",2800.0%,58.8%,69.6%,258
Мужчинам / Худи спортивные,Худи спортивные,"47,129,768","4,073",3450.0%,47.9%,54.6%,213
Аксессуары / Палантины,Палантины,"47,106,874",865,3450.0%,45.5%,45.3%,626
Аксессуары / Имиджевые очки,Имиджевые очки,"46,934,600",771,3450.0%,34.3%,34.1%,547
Сад и дача / Горшки для рассады,Горшки для рассады,"46,919,312",642,2950.0%,82.8%,57.3%,665
Дом / Корзины для игрушек,Корзины для игрушек,"46,860,922",909,2650.0%,86.2%,63.7%,752
Парео,Парео,"46,794,258",573,3450.0%,52.3%,41.6%,304
Бытовая техника / Запчасти для плит,Запчасти для плит,"46,539,967",935,2850.0%,82.4%,60.9%,373
Красота / Тату машинки,Тату машинки,"46,527,528","4,587",3250.0%,81.2%,65.4%,180
Дом / Креманки,Креманки,"46,508,826",974,2950.0%,77.8%,60.0%,718
Мужчинам / Куртки горнолыжные,Куртки горнолыжные,"46,402,997","7,506",3450.0%,30.4%,60.6%,118
Красота / Ватные диски,Ватные диски,"46,395,124",561,3250.0%,95.8%,52.7%,598
Лебедки автомобильные,Лебедки автомобильные,"46,316,617","3,168",2650.0%,78.9%,70.9%,293
Дом / Мантоварки,Мантоварки,"46,309,938","2,574",2950.0%,72.6%,66.9%,583
Женщинам / Заколки-автомат,Заколки-автомат,"46,290,126",505,3450.0%,85.6%,44.5%,973
Для ремонта / Плинтусы потолочные,Плинтусы потолочные,"46,270,572","1,056",2850.0%,83.9%,62.9%,143
Электроника / Радиодетали,Радиодетали,"46,234,697",522,3050.0%,87.5%,52.7%,435
Чехлы для брелоков автомобильной сигнализации,Чехлы для брелоков автомобильной сигнализации,"46,151,604",797,3450.0%,81.0%,54.3%,552
Спорт / Крючки рыболовные,Крючки рыболовные,"46,000,355",363,2750.0%,90.5%,49.5%,619
Для ремонта / Опрессовщик,Опрессовщики,"45,950,607","1,476",2850.0%,70.0%,64.6%,178
Для ремонта / Кронштейны настенные,Кронштейны настенные,"45,894,748","1,049",2850.0%,86.0%,63.8%,588
Крышки маслозаливной горловины,Крышки маслозаливной горловины,"45,831,177",706,2650.0%,84.4%,60.6%,417
Продукты / Овощи сушеные,Овощи сушеные,"45,820,661",554,2150.0%,96.4%,59.9%,320
Джинсы для малышей,Джинсы для малышей,"45,786,674","1,226",3450.0%,46.1%,52.1%,307
Электроника / Проекторы лазерные,Проекторы лазерные,"45,575,500","1,790",2150.0%,81.2%,72.9%,476
Сад и дача / Аксессуары для кукол,Аксессуары для кукол,"45,553,016",629,2850.0%,88.1%,58.4%,1005
Аппараты магнитотерапии,Аппараты магнитотерапии,"45,428,989","2,009",2550.0%,84.7%,66.9%,103
Инструменты для маникюра и педикюра,Инструменты для маникюра и педикюра,"45,391,212",563,2750.0%,92.9%,58.8%,749
Спорт / Гермомешки,Гермомешки,"45,382,387",946,2950.0%,80.8%,60.7%,677
Сад и дача / Аромалампы,Аромалампы,"45,320,060",905,2950.0%,85.2%,60.7%,787
Бальзамы после бритья,Бальзамы после бритья,"45,282,994",881,3250.0%,95.1%,57.1%,592
Электроника / Стилусы,Стилусы,"45,282,469",966,2950.0%,84.9%,61.0%,705
Автоклавы для консервирования,Автоклавы для консервирования,"45,260,231","6,944",2450.0%,83.9%,74.1%,102
Дом / Фумигаторы,Фумигаторы,"45,236,380",613,2950.0%,94.7%,55.7%,565
Спорт / Шнуры плетеные,Шнуры плетеные,"45,225,131",748,2750.0%,86.1%,61.7%,676
Канцтовары / Подставки для книг,Подставки для книг,"45,211,794","1,199",2950.0%,86.0%,63.6%,873
Дом / Тарелки музыкальные,Тарелки музыкальные,"45,137,469","2,807",2850.0%,100.0%,68.4%,102
Датчики дорожного просвета,Датчики дорожного просвета,"45,118,949","4,614",2650.0%,100.0%,71.9%,69
Чехлы для музыкальных инструментов,Чехлы для музыкальных инструментов,"45,115,807","1,916",2850.0%,82.3%,66.4%,303
Стеклоочистители электрические,Стеклоочистители электрические,"45,065,475","2,010",2550.0%,66.7%,72.6%,190
Спорт / Скакалки,Скакалки,"45,049,211",728,2750.0%,87.8%,60.3%,1072
Детям / Прорезыватели,Прорезыватели,"45,042,668",593,2650.0%,91.8%,60.0%,967
Плакаты,Плакаты,"44,997,207",362,2950.0%,86.3%,47.3%,677
Спорт / Грипсы,Грипсы,"44,984,671",670,2750.0%,86.4%,59.5%,754
Шпатлевки для автомобиля,Шпатлевки для автомобиля,"44,965,915","1,005",2650.0%,88.5%,64.9%,272
Электроника / Сетевые хранилища,Сетевые хранилища,"44,906,204","2,214",2450.0%,100.0%,69.9%,96
Бюстгальтеры медицинские,Бюстгальтеры медицинские,"44,893,802","1,132",3250.0%,46.6%,56.2%,110
Наборы для ухода за новорожденными,Наборы для ухода за новорожденными,"44,819,523",817,2650.0%,89.6%,62.4%,496
Дом / Дуршлаги,Дуршлаги,"44,765,789",960,2950.0%,90.7%,62.4%,1260
Дом / Фигуры светодиодные,Фигуры светодиодные,"44,699,711","1,373",3250.0%,72.3%,61.0%,647
Веера,Веера,"44,683,149",656,3450.0%,74.2%,52.2%,626
Фотоловушки,Фотоловушки,"44,602,949","1,941",2750.0%,92.0%,67.1%,133
Дом / Фартуки кухонные,Фартуки кухонные,"44,573,981","1,193",2950.0%,74.3%,62.3%,704
Бытовая техника / Инкубаторы,Инкубаторы,"44,561,631","2,802",2750.0%,84.3%,69.5%,218
Песочницы,Песочницы,"44,559,666","1,269",2850.0%,77.9%,64.2%,222
Женщинам / Анораки,Анораки,"44,510,391","3,921",3450.0%,41.9%,60.2%,182
Игрушки / Пирамидки,Пирамидки,"44,458,709",997,2850.0%,89.9%,62.4%,744
Облучатели-рециркуляторы,Облучатели-рециркуляторы,"44,408,593","2,807",2550.0%,76.8%,70.7%,165
Подложки для десертов,Подложки для десертов,"44,322,653",748,2950.0%,88.0%,59.2%,483
Электроника / GPS-трекер,GPS-трекеры,"44,308,039","1,436",2750.0%,74.8%,65.2%,634
Красота / Мыло для бани,Мыло для бани,"44,285,065","1,015",3250.0%,96.2%,58.1%,794
Канцтовары / Ленты чековые,Ленты чековые,"44,258,042","1,642",2950.0%,95.6%,66.2%,253
Шпагат хозяйственно-бытовой,Шпагат хозяйственно-бытовой,"44,215,286",569,2850.0%,93.0%,56.1%,559
Автотовары / Очистители двигателя,Очистители двигателя,"44,212,565",864,2650.0%,91.9%,61.5%,400
Дом / Доски сервировочные,Доски сервировочные,"44,182,693","1,275",2950.0%,78.3%,63.7%,855
Автотовары / Сирены неавтономные,Автономные отопители,"44,156,879","1,261",2650.0%,86.4%,65.6%,271
Спорт / Фитболы,Фитболы,"44,152,904","1,246",2750.0%,84.0%,65.7%,681
Красота / Пинцеты,Пинцеты,"44,125,050",480,3250.0%,89.6%,50.4%,1018
Таблетницы,Таблетницы,"44,105,307",596,2750.0%,86.8%,57.5%,1188
Шланги всасывающие для насосов,Шланги всасывающие для насосов,"44,104,555","2,882",2950.0%,84.6%,67.4%,221
Дом / Грим,Гримы,"44,088,106",563,3250.0%,90.5%,51.1%,451
Кейсы для портативных колонок,Кейсы для портативных колонок,"44,067,091","1,190",3450.0%,66.7%,58.4%,149
Автотовары / Направляющие суппорта,Направляющие клапана,"44,034,642","1,080",2650.0%,80.0%,64.0%,154
Канцтовары / Закладки,Закладки,"43,994,947",458,2450.0%,91.3%,58.2%,1123
Вибропоглощающий материал для авто,Вибропоглощающий материал для авто,"43,964,768",980,2650.0%,89.0%,65.1%,292
Ограждения для животных,Ограждения для животных,"43,951,014","1,916",2150.0%,94.3%,74.6%,348
Продукты / Посыпки кондитерские,Посыпки кондитерские,"43,940,395",369,1650.0%,92.6%,66.2%,490
Для ремонта / Крепления для труб,Крепления для труб,"43,809,116",618,2750.0%,91.2%,58.6%,344
Шарики для сухих бассейнов,Шарики для сухих бассейнов,"43,800,395","1,602",2850.0%,86.7%,65.0%,310
Автотовары / Защита радиатора,Защита радиатора,"43,693,052","2,114",2650.0%,89.5%,69.4%,334
Зоотовары / Спреи для животных,Спреи для животных,"43,682,332",750,2150.0%,92.5%,66.3%,569
Автотовары / Прокладки крышки ГРМ,Прокладки крышки ГРМ,"43,674,053","1,847",2650.0%,100.0%,69.2%,107
Детям / 3D-ручки,3D-ручки,"43,632,888","1,330",2750.0%,90.4%,66.2%,576
Мебель / Столы-книжки,Столы-книжки,"43,632,477","3,116",2650.0%,85.7%,70.8%,125
Подсветка для телевизоров,Подсветка для телевизоров,"43,626,926","1,160",2950.0%,87.5%,63.1%,116
Защитные накладки для дома,Защитные накладки для дома,"43,622,233",592,2650.0%,92.1%,58.6%,885
Спорт / Сетки спортивные,Сетки спортивные,"43,594,889","1,506",2750.0%,83.4%,66.4%,559
Мебель / Ширмы,Ширмы,"43,537,891","10,447",2650.0%,33.3%,62.3%,111
Красота / Корректоры,Корректоры осанки,"43,475,622",907,3250.0%,52.0%,51.4%,494
Дом / Шприцы колбасные,Шприцы плунжерные,"43,412,181","1,389",3150.0%,94.1%,62.3%,559
Дом / Камин,Порталы для каминов,"43,364,517","1,096",2900.0%,70.0%,12.6%,49
Аксессуары / Кредитницы,Кредитницы,"43,349,926",569,3450.0%,74.9%,48.6%,831
Фиксаторы распредвала,Фиксаторы распредвала,"43,333,285","3,913",2650.0%,88.3%,71.3%,189
Мебель / Ящики выдвижные,Ящики выдвижные,"43,269,708","2,318",2650.0%,83.3%,66.6%,227
Другие аксессуары для смартфона,Другие аксессуары для смартфона,"43,230,725",799,2950.0%,74.7%,59.8%,753
Здоровье / Ходунки медицинские,Ходунки медицинские,"43,182,673","5,980",3250.0%,76.1%,65.9%,123
Бытовая техника / Холодильные витрины,Холодильные витрины,"43,100,330","44,404",1950.0%,70.0%,32.7%,26
Средства для укрепления и роста ногтей,Средства для укрепления и роста ногтей,"43,075,407",517,3250.0%,92.6%,49.8%,689
Дом / Самовары,Самовары,"43,059,536","4,125",2950.0%,70.0%,68.5%,142
Переходники автомобильные,Переходники автомобильные,"43,033,003",604,2650.0%,85.8%,59.6%,503
Спорт / Кинезио тейпы,Кинезио тейпы,"42,943,439",554,2750.0%,90.0%,56.3%,547
Здоровье / Коврики массажные,Коврики массажные,"42,937,514","1,008",3150.0%,85.2%,59.6%,509
Женщинам / Полукомбинезоны,Полукомбинезоны,"42,932,788","1,688",3450.0%,52.5%,53.2%,487
Фурнитура для игрушек,Фурнитура для игрушек,"42,856,134",449,2950.0%,92.4%,50.7%,756
Внешние звуковые карты,Внешние звуковые карты,"42,805,162","1,824",2750.0%,78.8%,66.5%,260
Детям / Кресла детские,Кресла детские,"42,783,178","4,984",2650.0%,71.5%,71.5%,196
Подогреватели охлаждающей жидкости,Подогреватели охлаждающей жидкости,"42,750,866","2,675",2650.0%,100.0%,70.5%,30
Сад и дача / Ножи для триммеров,Ножи для триммеров,"42,599,175",748,2850.0%,95.1%,57.4%,732
Комплектующие топливных баков,Комплектующие топливных баков,"42,515,882","1,220",2650.0%,80.9%,66.8%,464
Красота / Лупы настольные,Лупы настольные,"42,514,775","1,770",2950.0%,84.2%,63.9%,362
Игрушки / Магнитные доски,Магнитные доски,"42,509,904","1,325",2850.0%,83.4%,66.4%,534
Аксессуары / Зажимы,Зажимы-крокодил,"42,501,070",624,2850.0%,100.0%,63.0%,33
Для ремонта / Колеса мебельные,Колеса мебельные,"42,497,517",696,2650.0%,86.8%,61.9%,767
Дом / Фонарики бытовые,Фреоны бытовые,"42,474,604","7,283",2950.0%,100.0%,21.4%,56
Спорт / Ботинки горнолыжные,Ботинки горнолыжные,"42,465,689","21,393",2950.0%,100.0%,69.3%,22
Теплообменники салонные,Теплообменники салонные,"42,389,507","3,873",2650.0%,100.0%,71.1%,118
Игрушки / Самолеты и вертолеты,Самолеты и вертолеты,"42,315,577","1,135",2850.0%,86.2%,64.9%,882
Для ремонта / Сетки заборные,Сетки заборные,"42,313,928","1,613",2850.0%,84.1%,65.8%,177
Аксессуары / Чалма,Чалма,"42,273,255",622,3450.0%,49.0%,43.5%,277
Обувь / Ложки обувные,Ложки обувные,"42,169,860",700,3450.0%,87.8%,52.0%,1052
Канцтовары / Глина для лепки,Глина для лепки,"42,060,988",752,2950.0%,90.8%,60.2%,666
Здоровье / Прочие инструменты,Прочие инструменты,"41,931,178",947,2750.0%,83.2%,62.3%,210
Мебель / Ящики,Балконные ящики,"41,883,644","1,269",2950.0%,80.2%,63.7%,331
Спорт / Педали,Педали,"41,787,964","1,394",2750.0%,85.7%,65.4%,574
Продукты / Маслины,Маслины,"41,735,511",836,2150.0%,95.7%,69.1%,137
Спорт / Газовые лампы,Газовые баллоны,"41,722,872","1,693",2850.0%,90.8%,66.1%,165
Оснастка для станков,Оснастка для станков,"41,720,407","3,322",3150.0%,70.0%,17.4%,9
Фильтры для противогазов,Фильтры для противогазов,"41,701,551","1,879",2850.0%,100.0%,67.3%,69
Стойки для музыкальных инструментов,Стойки для музыкальных инструментов,"41,675,656","2,092",2850.0%,90.5%,67.0%,274
Красота / Лаки,Лаки для автомобиля,"41,635,407",758,2650.0%,91.8%,63.0%,328
Запчасти для цепных пил,Запчасти для цепных пил,"41,560,039",762,2850.0%,92.4%,59.9%,543
Для ремонта / Бордюры для ванны,Бордюры для ванны,"41,551,167",554,2750.0%,89.2%,56.0%,764
Аксессуары для настольных игр,Аксессуары для настольных игр,"41,489,345",801,2850.0%,87.8%,60.3%,1015
Для ремонта / Вилки силовые,Вилки силовые,"41,473,834",598,2350.0%,94.8%,64.7%,442
Продукты / Шоколад фигурный,Шоколад фигурный,"41,460,100",672,2150.0%,88.3%,64.6%,455
Канцтовары / Резаки для бумаги,Резаки для бумаги,"41,447,850",800,2800.0%,87.1%,61.1%,301
Обувь / Шнурки,Шнурки для телефонов,"41,367,070",641,3450.0%,75.2%,51.8%,560
Спорт / Шейкеры спортивные,Шейкеры спортивные,"41,327,766",697,2750.0%,87.4%,59.5%,877
Другие аксессуары для телевизоров,Другие аксессуары для телевизоров,"41,287,210","2,700",2450.0%,81.9%,71.6%,232
Электроника / Пульты Умный дом,Пульты Умный дом,"41,195,101",523,2450.0%,94.5%,60.3%,415
Сад и дача / Свечи религиозные,Свечи религиозные,"41,170,313",666,2950.0%,95.1%,59.4%,631
Автотовары / Топливопроводы,Топливопроводы,"41,015,240","1,792",2650.0%,87.2%,68.8%,273
Вышки-туры,Вышки-туры,"41,006,955","10,125",3150.0%,92.9%,67.6%,43
Светоотражатели для авто,Светоотражатели для авто,"40,980,632",914,2650.0%,88.7%,64.7%,784
Красота / Зубные нити,Зубные нити,"40,972,235",597,3250.0%,94.8%,54.3%,775
Спорт / Велообувь,Велообувь,"40,971,477","1,444",3450.0%,92.9%,46.9%,62
Автотовары / Насосы воздушные,Насосы воздушные,"40,961,791","1,788",2650.0%,100.0%,69.4%,168
Анатомические модели,Анатомические модели,"40,913,680","2,514",2950.0%,20.0%,66.0%,493
Для ремонта / Клапаны обратные,Клапаны обратные,"40,912,282",916,2750.0%,89.9%,63.5%,560
Спорт / Насадки рыболовные,Насадки рыболовные,"40,904,511",407,2750.0%,92.7%,52.0%,356
Продукты / Урбеч,Урбеч,"40,822,370",642,2150.0%,94.5%,64.9%,141
Для ремонта / Счетчики газа,Счетчики газа,"40,771,389","1,631",2750.0%,77.9%,66.2%,118
Спорт / Сумки рыболовные,Сумки рыболовные,"40,752,791","1,556",2950.0%,86.5%,65.1%,430
Дом / Мельницы,Мельницы,"40,752,307",889,2950.0%,89.7%,60.3%,979
Контейнеры медицинские,Контейнеры медицинские,"40,748,008",638,3150.0%,91.2%,53.1%,352
Трубопроводы тормозной системы,Трубопроводы тормозной системы,"40,693,368",847,2650.0%,100.0%,63.4%,196
Печи и парогенераторы для бани,Печи и парогенераторы для бани,"40,654,239","25,941",2850.0%,82.4%,71.1%,90
Дом / Стопки,Стопки,"40,620,872",754,2950.0%,88.9%,59.4%,1016
Аксессуары и запчасти для посудомоечных машин,Аксессуары и запчасти для посудомоечных машин,"40,559,138","1,326",2850.0%,86.6%,64.5%,328
Мебель / Детские,Аспираторы детские,"40,394,041","1,082",3250.0%,85.4%,57.9%,517
Красота / Диваны детские,Диваны детские,"40,393,240","2,604",2150.0%,100.0%,74.7%,83
Коврики для сушки посуды,Коврики для сушки посуды,"40,333,666",685,2950.0%,88.9%,57.2%,1072
Спорт / Запчасти для батутов,Запчасти для батутов,"40,311,839","1,986",2750.0%,83.6%,68.7%,178
Красота / Пэды косметические,Пэды косметические,"40,284,697",978,3250.0%,88.7%,57.8%,540
Сад и дача / Лопаты снеговые,Лопаты снеговые,"40,273,510","1,516",2950.0%,76.7%,64.2%,350
Насадки для электрических зубных щеток,Насадки для электрических зубных щеток,"40,257,669",849,2550.0%,94.6%,65.7%,607
Автомобильные антенны,Автомобильные антенны,"40,160,085",684,2650.0%,86.8%,60.6%,911
Принадлежности для гриля и барбекю,Принадлежности для гриля и барбекю,"40,158,403","1,268",2850.0%,85.7%,64.5%,765
Для ремонта / Гвоздодер,Гвоздодеры,"40,153,444","1,424",3150.0%,91.7%,62.7%,432
Утеплители напыляемые,Утеплители напыляемые,"40,151,524","1,492",2050.0%,94.6%,75.2%,82
Дом / Насадки на кран,Насадки на глушитель,"40,144,470","1,101",2650.0%,67.6%,64.0%,656
Для ремонта / Изоленты,Ленты выпускника,"40,076,574",513,3250.0%,69.6%,51.5%,322
Спорт / Велокамеры,Велокамеры,"40,070,944",609,2750.0%,91.1%,58.1%,741
Продукты / Попкорн,Попкорн,"40,004,240",579,2150.0%,93.7%,64.9%,196
Разветвители прикуривателя,Разветвители прикуривателя,"39,976,646",724,2650.0%,90.6%,61.4%,1055
Продукты / Халва,Халва,"39,960,665",526,2150.0%,95.9%,62.8%,382
Детям / Кровати-манежи,Кровати-манежи,"39,952,370","4,000",2650.0%,80.1%,71.7%,158
Автотовары / Провода прикуривания,Провода прикуривания,"39,944,788","1,105",2650.0%,88.8%,65.6%,576
Спорт / Ролики,Ролики для одежды,"39,880,220",561,2950.0%,93.9%,55.5%,1248
Кондиционеры для животных,Кондиционеры для животных,"39,762,058","1,092",2150.0%,91.0%,69.9%,186
Сад и дача / Сеялки и сажалки,Сеялки и сажалки,"39,743,477",787,2950.0%,86.9%,61.1%,646
Дом / Камни декоративные,Камни декоративные,"39,740,950",747,2950.0%,89.9%,57.9%,617
Спорт / Повязки для волос,Повязки на рану,"39,707,077","1,056",3050.0%,92.6%,61.0%,173
Канцтовары / Обложки для книг,Обложки для книг,"39,700,890",643,2450.0%,92.1%,62.9%,573
Электроника / Стекла защитные,Стекла автомобильные,"39,679,756","1,294",2650.0%,86.9%,67.2%,333
Фискальные накопители,Фискальные накопители,"39,668,629","12,668",2650.0%,50.0%,72.8%,52
Для ремонта / Вилки силовые,Вилки для фаркопов,"39,629,778","1,334",2650.0%,94.7%,67.0%,126
Мебель / Матрасы детские,Матрасы детские,"39,564,075","11,002",2650.0%,75.0%,72.8%,113
Спорт / Насосы велосипедные,Насосы велосипедные,"39,557,473","1,113",2750.0%,89.5%,64.8%,628
Сад и дача / Насосы и помпы,Насосы вакуумные,"39,539,373","1,245",2850.0%,100.0%,68.9%,211
Ленты перфорированные,Ленты перфорированные,"39,501,904",834,2850.0%,93.9%,61.9%,304
Ремкомплекты для туристических палаток,Ремкомплекты для туристических палаток,"39,474,578",944,2750.0%,90.0%,64.4%,266
Мебель / Столы-трансформеры,Столы-трансформеры,"39,437,861","6,588",2650.0%,100.0%,72.3%,155
Для ремонта / Трубы металлические,Трубы металлические,"39,292,280",932,2050.0%,88.7%,72.2%,228
Автотовары / Кабели автомобильные,Кабели автомобильные,"39,240,123",839,2650.0%,84.3%,62.2%,345
