display,name,revenue,avg_price,commission,buyout_pct,profit_pct,sellers_with_sales
Спортивные крепежи для телефонов,Спортивные крепежи для телефонов,"20,215,284",738,2750.0%,82.7%,59.7%,443
Аккумуляторы для камер,Аккумуляторы для камер,"20,197,668","1,292",2850.0%,77.9%,66.7%,176
Электроника / Оповещатели звуковые,Оповещатели звуковые,"20,183,163","1,749",2450.0%,87.0%,69.6%,236
Автотовары / Чехлы на автомобиль,Чехлы на автомобиль,"20,171,038","1,704",2650.0%,75.9%,68.9%,231
Соковыжималки механические,Соковыжималки механические,"20,165,876","1,076",2950.0%,87.9%,62.1%,645
Наборы кемпинговой мебели,Наборы кемпинговой мебели,"20,158,860","2,538",2750.0%,85.7%,66.4%,137
Канцтовары / Штемпельные подушки,Штемпельные подушки,"20,121,843",808,2950.0%,86.9%,58.4%,258
Автотовары / Приборы управления,Приборы управления,"20,117,909","1,096",2650.0%,100.0%,59.3%,159
Кронштейны для кондиционера,Кронштейны для кондиционера,"20,115,350","1,422",2550.0%,86.4%,67.6%,153
Камеры автомобильные для шин,Камеры автомобильные для шин,"20,087,241","1,236",2650.0%,88.5%,66.0%,182
Балансиры автомобильные,Балансиры автомобильные,"20,069,969","1,475",2650.0%,94.6%,67.5%,133
Спорт / Герморюкзаки,Герморюкзаки,"20,049,902","1,486",2950.0%,63.2%,63.8%,289
